X,Y,Slope_UTM,TWI_UTM,Flowlog_UT,RiverDist_,RiverDC_UT,DEMC_UTM,population_density,road_density,latitude,longitude,lat,lon
561918.375602481,2075928.1597743,2.13728,8.97792,0.0,633.17847,0.0,5.0,0.198,0.00631,18.77404189404903,105.58750202382818,18.77404189404903,105.58750202382818
561921.998053718,2076296.91037307,0.58601,8.18688,0.65812,450.6395,0.05403,6.0,2.80752,0.0082,18.77737434221408,105.58754794171645,18.77737434221408,105.58754794171645
561922.339947578,2077042.07589552,1.21303,10.95302,1.39217,610.72479,0.0,5.0,0.00057,0.00542,18.784108706551038,105.58757452964429,18.784108706551038,105.58757452964429
561922.408856294,2078305.42698211,1.0329,6.65299,0.32862,43.15107,25.46183,2.0,0.0,0.00816,18.79552612898063,105.58761478352562,18.79552612898063,105.58761478352562
561922.950088076,2077976.05648607,1.51618,6.20713,0.30137,204.68347,13.2005,6.0,1.21793,0.00967,18.79254945724194,105.58760959232697,18.79254945724194,105.58760959232697
561923.364823051,2077819.574593,1.91083,9.14678,0.96007,271.62903,6.91808,5.0,1.08373,0.00956,18.79113525380375,105.58760862208177,18.79113525380375,105.58760862208177
561931.222675453,2077082.05581534,1.08926,8.9828,0.92142,606.51813,0.0,5.0,0.01437,0.00559,18.784469756657334,105.58766006655229,18.784469756657334,105.58766006655229
561935.438063207,2077937.47373236,1.68309,6.32323,0.38777,249.05492,11.33351,7.0,1.43047,0.00972,18.79220039618284,105.58772688085973,18.79220039618284,105.58772688085973
561938.127350354,2077435.07263076,1.38364,7.66111,0.72047,400.89291,0.44548,4.0,0.23807,0.0088,18.787659910213883,105.58773664745583,18.787659910213883,105.58773664745583
561938.985195668,2077304.45239009,2.48615,6.57855,0.45226,463.99939,0.08546,7.0,0.30473,0.00667,18.786479415331936,105.58774069260483,18.786479415331936,105.58774069260483
561940.327638794,2078285.46489634,0.80755,6.94697,0.0,21.57553,24.9689,3.0,0.0,0.00874,18.79534518829947,105.5877841916804,18.79534518829947,105.5877841916804
561941.430026063,2078087.91041077,0.91345,10.02692,1.43374,110.01406,17.96443,5.0,0.58838,0.00963,18.79355977500457,105.58778845629712,18.79355977500457,105.58778845629712
561943.281552681,2076521.2469554,1.29669,5.86688,0.31427,440.05624,0.25054,6.0,0.69894,0.00762,18.779401131742883,105.58775691188771,18.779401131742883,105.58775691188771
561947.773538598,2076222.76494206,1.64846,7.86578,0.51487,450.76859,0.06148,6.0,2.93297,0.008,18.776703489392375,105.58779018015035,18.776703489392375,105.58779018015035
561951.670739188,2076990.22898801,2.51948,8.5855,0.73608,565.20068,0.0,5.0,0.0,0.00572,18.783639268840027,105.58785121028089,18.783639268840027,105.58785121028089
561954.103007991,2076903.53386806,1.52592,8.6376,1.10896,541.75641,0.0,5.0,0.0,0.00621,18.782855696173527,105.58787157111689,18.782855696173527,105.58787157111689
561954.645808468,2077283.34999647,1.35895,4.96026,0.29005,485.44949,0.03285,9.0,0.30014,0.00691,18.786288236616233,105.58788862913607,18.786288236616233,105.58788862913607
561958.974001646,2076960.40623461,1.13339,5.90674,0.32486,556.06726,0.0,7.0,0.0,0.00592,18.783369530088866,105.58791957229442,18.783369530088866,105.58791957229442
561964.898897886,2077796.72953916,1.18165,9.98067,1.13515,317.46106,4.77186,4.0,0.95659,0.0098,18.7909275531922,105.5880020188939,18.7909275531922,105.5880020188939
561970.662296652,2077517.83436965,2.63929,5.84603,0.29378,406.22781,0.50333,6.0,0.19245,0.01073,18.788406890562428,105.58804795848073,18.788406890562428,105.58804795848073
